source,source_id,flagged_fragrance,flagged_parabens,flagged_sulfates,flagged_phthalates,flagged_alcohol,flagged_silicones
sephora,P433811,False,False,False,False,False,True
sephora,P430240,False,False,False,False,False,False
sephora,P420411,False,False,False,False,False,False
sephora,P301802,False,False,True,False,False,True
sephora,P501154,False,False,True,False,False,True
sephora,P433809,False,False,False,False,False,False
sephora,P444425,False,False,False,False,False,False
sephora,P404706,False,False,False,False,False,True
sephora,P376457,False,True,False,False,False,True
sephora,P427527,False,False,False,False,False,False
sephora,P388108,False,False,False,False,False,False
sephora,P460829,False,False,False,False,False,True
sephora,P309504,False,False,False,False,False,True
sephora,P480609,False,False,True,False,False,True
sephora,P379096,False,False,False,False,False,False
sephora,P388106,False,True,False,False,False,False
sephora,P427516,False,False,False,False,False,False
sephora,P504297,True,False,False,False,False,True
sephora,P457643,False,False,False,False,False,True
sephora,P420410,True,False,False,False,False,False
sephora,P473833,False,False,False,False,False,False
sephora,P471550,False,False,False,False,False,False
sephora,P483663,False,False,False,False,False,True
sephora,P450905,True,False,False,False,False,False
sephora,P430238,False,False,False,False,False,True
sephora,P471767,False,False,False,False,False,True
sephora,P447359,False,False,False,False,False,False
sephora,P457644,False,False,False,False,False,True
sephora,P502339,False,False,False,False,False,False
sephora,P461167,False,False,False,False,False,True
